
[START] task=easy seed=1
[STEP] step=1 actions=[1, 1] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 1, 'collision_rate': 0.0}
[STEP] step=69 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 69, 'collision_rate': 0.3188405797101449}
[STEP] step=70 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 70, 'collision_rate': 0.32857142857142857}
[STEP] step=71 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 71, 'collision_rate': 0.323943661971831}
[STEP] step=72 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 72, 'collision_rate': 0.3333333333333333}
[STEP] step=73 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 73, 'collision_rate': 0.3287671232876712}
[STEP] step=74 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 74, 'collision_rate': 0.33783783783783783}
[STEP] step=75 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 75, 'collision_rate': 0.3333333333333333}
[STEP] step=76 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 76, 'collision_rate': 0.34210526315789475}
[STEP] step=77 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 77, 'collision_rate': 0.33766233766233766}
[STEP] step=78 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 78, 'collision_rate': 0.34615384615384615}
[STEP] step=79 actions=[6, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 79, 'collision_rate': 0.34177215189873417}
[STEP] step=80 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 3, 'step_count': 80, 'collision_rate': 0.35}
[END] task=easy score=0.95

[START] task=easy seed=7
[STEP] step=1 actions=[0, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 1, 'collision_rate': 0.0}
[STEP] step=2 actions=[0, 2] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 2, 'collision_rate': 0.0}
[STEP] step=3 actions=[3, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 3, 'collision_rate': 0.0}
[STEP] step=4 actions=[4, 4] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 4, 'collision_rate': 0.0}
[STEP] step=5 actions=[0, 2] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 5, 'collision_rate': 0.0}
[STEP] step=6 actions=[0, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 6, 'collision_rate': 0.0}
[STEP] step=7 actions=[6, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 7, 'collision_rate': 0.0}
[STEP] step=8 actions=[0, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 8, 'collision_rate': 0.0}
[STEP] step=9 actions=[3, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 9, 'collision_rate': 0.0}
[STEP] step=10 actions=[0, 2] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 10, 'collision_rate': 0.1}
[STEP] step=11 actions=[5, 3] info={'deliveries': 1, 'total_deliveries': 1, 'step_count': 11, 'collision_rate': 0.09090909090909091}
[STEP] step=12 actions=[0, 6] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 12, 'collision_rate': 0.16666666666666666}
[STEP] step=13 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 13, 'collision_rate': 0.15384615384615385}
[STEP] step=14 actions=[0, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 14, 'collision_rate': 0.21428571428571427}
[STEP] step=15 actions=[4, 0] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 15, 'collision_rate': 0.2}
[STEP] step=16 actions=[0, 5] info={'deliveries': 1, 'total_deliveries': 2, 'step_count': 16, 'collision_rate': 0.25}
[STEP] step=17 actions=[0, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 17, 'collision_rate': 0.29411764705882354}
[STEP] step=18 actions=[4, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 18, 'collision_rate': 0.2777777777777778}
[STEP] step=19 actions=[0, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 19, 'collision_rate': 0.3157894736842105}
[STEP] step=20 actions=[1, 4] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 20, 'collision_rate': 0.3}
[STEP] step=21 actions=[0, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 21, 'collision_rate': 0.2857142857142857}
[STEP] step=22 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 22, 'collision_rate': 0.2727272727272727}
[STEP] step=23 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 23, 'collision_rate': 0.2608695652173913}
[STEP] step=24 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 24, 'collision_rate': 0.25}
[STEP] step=25 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 25, 'collision_rate': 0.24}
[STEP] step=26 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 26, 'collision_rate': 0.23076923076923078}
[STEP] step=27 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 27, 'collision_rate': 0.2222222222222222}
[STEP] step=28 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 28, 'collision_rate': 0.21428571428571427}
[STEP] step=29 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 29, 'collision_rate': 0.20689655172413793}
[STEP] step=30 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 30, 'collision_rate': 0.2}
[STEP] step=31 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 31, 'collision_rate': 0.1935483870967742}
[STEP] step=32 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 32, 'collision_rate': 0.1875}
[STEP] step=33 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 33, 'collision_rate': 0.18181818181818182}
[STEP] step=34 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 34, 'collision_rate': 0.17647058823529413}
[STEP] step=35 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 35, 'collision_rate': 0.17142857142857143}
[STEP] step=36 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 36, 'collision_rate': 0.16666666666666666}
[STEP] step=37 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 37, 'collision_rate': 0.16216216216216217}
[STEP] step=38 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 38, 'collision_rate': 0.15789473684210525}
[STEP] step=39 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 39, 'collision_rate': 0.15384615384615385}
[STEP] step=40 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 40, 'collision_rate': 0.15}
[STEP] step=41 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 41, 'collision_rate': 0.14634146341463414}
[STEP] step=42 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 42, 'collision_rate': 0.14285714285714285}
[STEP] step=43 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 43, 'collision_rate': 0.13953488372093023}
[STEP] step=44 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 44, 'collision_rate': 0.13636363636363635}
[STEP] step=45 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 45, 'collision_rate': 0.13333333333333333}
[STEP] step=46 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 46, 'collision_rate': 0.13043478260869565}
[STEP] step=47 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 47, 'collision_rate': 0.1276595744680851}
[STEP] step=48 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 48, 'collision_rate': 0.125}
[STEP] step=49 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 49, 'collision_rate': 0.12244897959183673}
[STEP] step=50 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 50, 'collision_rate': 0.12}
[STEP] step=51 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 51, 'collision_rate': 0.11764705882352941}
[STEP] step=52 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 52, 'collision_rate': 0.11538461538461539}
[STEP] step=53 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 53, 'collision_rate': 0.11320754716981132}
[STEP] step=54 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 54, 'collision_rate': 0.1111111111111111}
[STEP] step=55 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 55, 'collision_rate': 0.10909090909090909}
[STEP] step=56 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 56, 'collision_rate': 0.10714285714285714}
[STEP] step=57 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 57, 'collision_rate': 0.10526315789473684}
[STEP] step=58 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 58, 'collision_rate': 0.10344827586206896}
[STEP] step=59 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 59, 'collision_rate': 0.1016949152542373}
[STEP] step=60 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 60, 'collision_rate': 0.1}
[STEP] step=61 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 61, 'collision_rate': 0.09836065573770492}
[STEP] step=62 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 62, 'collision_rate': 0.0967741935483871}
[STEP] step=63 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 63, 'collision_rate': 0.09523809523809523}
[STEP] step=64 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 64, 'collision_rate': 0.09375}
[STEP] step=65 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 65, 'collision_rate': 0.09230769230769231}
[STEP] step=66 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 66, 'collision_rate': 0.09090909090909091}
[STEP] step=67 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 67, 'collision_rate': 0.08955223880597014}
[STEP] step=68 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 68, 'collision_rate': 0.08823529411764706}
[STEP] step=69 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 69, 'collision_rate': 0.08695652173913043}
[STEP] step=70 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 70, 'collision_rate': 0.08571428571428572}
[STEP] step=71 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 71, 'collision_rate': 0.08450704225352113}
[STEP] step=72 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 72, 'collision_rate': 0.08333333333333333}
[STEP] step=73 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 73, 'collision_rate': 0.0821917808219178}
[STEP] step=74 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 74, 'collision_rate': 0.08108108108108109}
[STEP] step=75 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 75, 'collision_rate': 0.08}
[STEP] step=76 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 76, 'collision_rate': 0.07894736842105263}
[STEP] step=77 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 77, 'collision_rate': 0.07792207792207792}
[STEP] step=78 actions=[3, 6] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 78, 'collision_rate': 0.07692307692307693}
[STEP] step=79 actions=[6, 1] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 79, 'collision_rate': 0.0759493670886076}
[STEP] step=80 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 2, 'step_count': 80, 'collision_rate': 0.075}
[END] task=easy score=1.00

[START] task=easy seed=42
[STEP] step=1 actions=[3, 2] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 1, 'collision_rate': 0.0}
[STEP] step=2 actions=[1, 1] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 2, 'collision_rate': 0.0}
[STEP] step=3 actions=[2, 1] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 3, 'collision_rate': 0.0}
[STEP] step=4 actions=[2, 6] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 4, 'collision_rate': 0.0}
[STEP] step=5 actions=[0, 2] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 5, 'collision_rate': 0.2}
[STEP] step=6 actions=[3, 3] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 6, 'collision_rate': 0.16666666666666666}
[STEP] step=7 actions=[0, 5] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 7, 'collision_rate': 0.14285714285714285}
[STEP] step=8 actions=[1, 2] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 8, 'collision_rate': 0.125}
[STEP] step=9 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 9, 'collision_rate': 0.1111111111111111}
[STEP] step=10 actions=[1, 5] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 10, 'collision_rate': 0.1}
[STEP] step=11 actions=[2, 1] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 11, 'collision_rate': 0.09090909090909091}
[STEP] step=12 actions=[2, 0] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 12, 'collision_rate': 0.08333333333333333}
[STEP] step=13 actions=[4, 4] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 13, 'collision_rate': 0.07692307692307693}
[STEP] step=14 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 0, 'step_count': 14, 'collision_rate': 0.07142857142857142}
[STEP] step=15 actions=[2, 5] info={'deliveries': 1, 'total_deliveries': 1, 'step_count': 15, 'collision_rate': 0.06666666666666667}
[STEP] step=16 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 16, 'collision_rate': 0.1875}
[STEP] step=17 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 17, 'collision_rate': 0.23529411764705882}
[STEP] step=18 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 18, 'collision_rate': 0.3333333333333333}
[STEP] step=19 actions=[2, 5] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 19, 'collision_rate': 0.3684210526315789}
[STEP] step=20 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 20, 'collision_rate': 0.45}
[STEP] step=21 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 21, 'collision_rate': 0.47619047619047616}
[STEP] step=22 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 22, 'collision_rate': 0.5454545454545454}
[STEP] step=23 actions=[2, 5] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 23, 'collision_rate': 0.5652173913043478}
[STEP] step=24 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 24, 'collision_rate': 0.625}
[STEP] step=25 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 25, 'collision_rate': 0.64}
[STEP] step=26 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 26, 'collision_rate': 0.6923076923076923}
[STEP] step=27 actions=[2, 5] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 27, 'collision_rate': 0.7037037037037037}
[STEP] step=28 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 28, 'collision_rate': 0.75}
[STEP] step=29 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 29, 'collision_rate': 0.7586206896551724}
[STEP] step=30 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 30, 'collision_rate': 0.8}
[STEP] step=31 actions=[2, 5] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 31, 'collision_rate': 0.8064516129032258}
[STEP] step=32 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 32, 'collision_rate': 0.84375}
[STEP] step=33 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 33, 'collision_rate': 0.8484848484848485}
[STEP] step=34 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 34, 'collision_rate': 0.8823529411764706}
[STEP] step=35 actions=[2, 5] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 35, 'collision_rate': 0.8857142857142857}
[STEP] step=36 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 36, 'collision_rate': 0.9166666666666666}
[STEP] step=37 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 37, 'collision_rate': 0.918918918918919}
[STEP] step=38 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 38, 'collision_rate': 0.9473684210526315}
[STEP] step=39 actions=[2, 5] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 39, 'collision_rate': 0.9487179487179487}
[STEP] step=40 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 40, 'collision_rate': 0.975}
[STEP] step=41 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 41, 'collision_rate': 0.975609756097561}
[STEP] step=42 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 42, 'collision_rate': 1.0}
[STEP] step=43 actions=[2, 5] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 43, 'collision_rate': 1.0}
[STEP] step=44 actions=[2, 3] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 44, 'collision_rate': 1.0227272727272727}
[STEP] step=45 actions=[2, 4] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 45, 'collision_rate': 1.0222222222222221}
[STEP] step=46 actions=[2, 2] info={'deliveries': 0, 'total_deliveries': 1, 'step_count': 46, 'collision_rate': 1.0434782608695652}
